phrase,summary,location,daysFromNowStart,weeksFromNowStart,monthsFromNowStart,yearsFromNowStart,startHour,daysFromNowEnd,weeksFromNowEnd,monthsFromNowEnd,yearsFromNowEnd,endHour,allDayFlag,repeatFrequency
Grocery shopping at King Kullen Thursday at 11:30pm,Grocery shopping,King Kullen,thursday,0.0,0.0,0.0,11:30 PM,friday,0.0,0.0,0.0,12:30 AM,0,none
Grocery shopping at Waldbaums from 4pm to 5pm,Grocery shopping,Waldbaums,,0.0,0.0,0.0,04:00 PM,,0.0,0.0,0.0,05:00 PM,0,none
Clothes shopping Wednesday at 5:35pm at Nordstroms,Clothes shopping,Nordstroms,wednesday,0.0,0.0,0.0,05:35 PM,wednesday,0.0,0.0,0.0,06:35 PM,0,none
Clothes shopping at Nordstroms in a month at 17:45,Clothes shopping,Nordstroms,0,0,1,0,05:45 PM,0,0,1,0,06:45 PM,0,none
Clothes shopping at Nordstroms next Thursday at 5p,Clothes shopping,Nordstroms,nextthursday,0,0,0,05:00 PM,nextthursday,0,0,0,06:00 PM,0,none
Clothes shopping at Nordstroms tomorrow at 0600,Clothes shopping,Nordstroms,1,0,0,0,06:00 AM,1,0,0,0,07:00 AM,0,none
Clothes shopping at Nordstroms thursday to saturday,Clothes shopping,Nordstroms,thursday,0,0,0,12:00 AM,saturday,0,0,0,12:00 AM,1,none
Clothes shopping at Nordstroms 23 sep in an hour,Clothes shopping,Nordstroms,09-23-13,0,0,0,1+0,09-23-13,0,0,0,2+0,0,none
Shopping at Nordstroms 2 weeks from tomorrow in an hour,Shopping,Nordstroms,1,2,0,0,1+0,1,2,0,0,2+0,0,none
Family vacation from 8/9-8/18,Family vacation,,08-09-13,0,0,0,12:00 AM,08-18-13,0,0,0,12:00 AM,1,none
Family vacation from 8/1-8 at The Sandy Lane,Family vacation,The Sandy Lane,08-01-13,0,0,0,12:00 AM,08-08-13,0,0,0,12:00 AM,0,none
Family vacation from 8/9-18 at The Sandy Lane,Family vacation,The Sandy Lane,08-09-13,0,0,0,12:00 AM,08-18-13,0,0,0,12:00 AM,1,none
Family vacation from August 9th-18th in Mexico,Family vacation,Mexico,08-09-13,0,0,0,12:00 AM,08-18-13,0,0,0,12:00 AM,1,none
Family vacation from August 9th-18 in Mexico,Family vacation,Mexico,08-09-13,0,0,0,12:00 AM,08-18-13,0,0,0,12:00 AM,1,none
Family vacation from August 9-18 at The Marriot Hotel,Family vacation,The Marriot Hotel,08-09-13,0,0,0,12:00 AM,08-18-13,0,0,0,12:00 AM,1,none
Soccer practice every Tuesday at noon,Soccer practice,,tuesday,0,0,0,12:00 PM,tuesday,0,0,0,01:00 PM,0,week
Soccer practice next week at 6am at JFK High School,Soccer practice,JFK High School,0,1,0,0,06:00 AM,0,1,0,0,07:00 AM,0,none
Soccer practice next month at 6am at JFK High School,Soccer practice,JFK High School,0,0,1,0,06:00 AM,0,0,1,0,07:00 AM,0,none
Soccer practice at JFK High School every Tuesday at 6,Soccer practice,JFK High School,tuesday,0,0,0,06:00 PM,tuesday,0,0,0,07:00 PM,0,week
Sams birthday every year on 5/16,Sams birthday,,05-16-13,0,0,0,12:00 AM,05-16-13,0,0,0,12:00 AM,1,year
Lunch with John in Cupertino on Thursday from 11-1:30pm,Lunch with John,Cupertino,thursday,0,0,0,11:00 AM,thursday,0,0,0,01:30 PM,0,none
Lunch with John in Cupertino on Thursday from 11-1:30 pm,Lunch with John,Cupertino,thursday,0,0,0,11:00 AM,thursday,0,0,0,01:30 PM,0,none
Lunch with John in Cupertino on Thursday @12,Lunch with John,Cupertino,thursday,0,0,0,12:00 PM,thursday,0,0,0,01:00 PM,0,none
"12p to 2p on May 5th, committee meeting",committee meeting,,05-05-13,0,0,0,12:00 PM,05-05-13,0,0,0,02:00 PM,0,none
"12p to 2p on 5th of may, committee meeting",committee meeting,,05-05-13,0,0,0,12:00 PM,05-05-13,0,0,0,02:00 PM,0,none
"12p to 2p on May 5th, committee meeting at 559 Madison Ave.",committee meeting,559 Madison Ave,05-05-13,0,0,0,12:00 PM,05-05-13,0,0,0,02:00 PM,0,none
"23rd of May at 2000, Dinner with Andre",Dinner with Andre,,05-23-13,0,0,0,08:00 PM,05-23-13,0,0,0,09:00 PM,0,none
"May 23rd at 8:00p, Dinner with Andre at Toku",Dinner with Andre,Toku,05-23-13,0,0,0,08:00 PM,05-23-13,0,0,0,09:00 PM,0,none
"February 24 at 3pm - 4:40pm March 3,  Retreat at Hilton Hotel",Retreat,Hilton Hotel,02-24-14,0,0,0,03:00 PM,03-03-14,0,0,0,04:40 PM,0,none
Vacation is in 4 weeks...,Vacation,,0,4,0,0,12:00 AM,0,4,0,0,12:00 AM,1,none
Christmas is on December 25th.,Christmas,,12-25-13,0,0,0,12:00 AM,12-25-13,0,0,0,12:00 AM,1,none
Homework 5 due next monday at 3 o'clock at 3 Towne Hall,Homework 5 due,3 Towne Hall,nextmonday,0,0,0,03:00 PM,nextmonday,0,0,0,04:00 PM,0,none
Homework 5 due next sunday at 3 Towne Hall at 3pm,Homework 5 due,3 Towne Hall,nextsunday,0,0,0,03:00 PM,nextsunday,0,0,0,04:00 PM,0,none
Homework 5 due next monday at 3 Towne Hall at 3,Homework 5 due,3 Towne Hall,nextmonday,0,0,0,03:00 PM,nextmonday,0,0,0,04:00 PM,0,none
The retreat is from Jan 12 - 29. at The Beach House,The retreat,The Beach House,01-12-14,0,0,0,12:00 AM,01-29-14,0,0,0,12:00 AM,1,none
Bake a cake tomorrow.,Bake a cake,,1,0,0,0,12:00 AM,1,0,0,0,12:00 AM,1,none
Use Horizon today!,Use Horizon,,,0,0,0,12:00 AM,,0,0,0,12:00 AM,1,none
Use Horizon! today,Use Horizon!,,,0,0,0,12:00 AM,,0,0,0,12:00 AM,1,none
At arena 2:00pm Football Game,Football Game,arena,,0,0,0,02:00 PM,,0,0,0,03:00 PM,0,none
Staff meeting on Monday at 9 am in conference room,Staff meeting,conference room,monday,0,0,0,09:00 AM,monday,0,0,0,10:00 AM,0,none
Project meeting with Jason 4 pm tomorrow at coffee shop,Project meeting with Jason,coffee shop,1,0,0,0,04:00 PM,1,0,0,0,05:00 PM,0,none
Let's have lunch at Joe's on the 3rd.,Let's have lunch,Joe's,05-03-13,0,0,0,12:00 AM,05-03-13,0,0,0,12:00 AM,1,none
Boys ski trip at Victor's from the 3rd to the 6th,Boys ski trip,Victor's,05-03-13,0,0,0,12:00 AM,05-06-13,0,0,0,12:00 AM,1,none
The exam is in 3 weeks from tomorrow.,The exam,,1,3,0,0,12:00 AM,1,3,0,0,12:00 AM,1,none
The exam is three weeks from tomorrow.,The exam,,1,3,0,0,12:00 AM,1,3,0,0,12:00 AM,1,none
The exam is @ 2pm and lasts for five hours,The exam,,,0,0,0,02:00 PM,,0,0,0,07:00 PM,0,none
The koala will be set free on the fourth of july @noon,The koala will be set free,,07-04-13,0,0,0,12:00 PM,07-04-13,0,0,0,01:00 PM,0,none
My mom's birthday is on the 27th,My mom's birthday,,04-27-13,0,0,0,12:00 AM,04-27-13,0,0,0,12:00 AM,1,none
The biology exam is @ 2pm and goes until 4pm,The biology exam,,,0,0,0,02:00 PM,,0,0,0,04:00 PM,0,none
"on the 5th to the ninth, we shall eat lobster.",we shall eat lobster,,04-05-13,0,0,0,12:00 AM,04-09-13,0,0,0,12:00 AM,1,none
Meeting on the 5th at City Center,Meeting,City Center,04-05-13,0,0,0,12:00 AM,04-05-13,0,0,0,12:00 AM,1,none
"on the 5th to the 9th, we shall eat lobster.",we shall eat lobster,,04-05-13,0,0,0,12:00 AM,04-09-13,0,0,0,12:00 AM,1,none
The conference is from Feb 12 at 3pm to the 15th.,The conference,,02-12-14,0,0,0,03:00 PM,02-15-14,0,0,0,12:00 AM,0,none
Birthday party from midnight to noon on March fourth,Birthday party,,03-05-14,0,0,0,12:00 AM,03-05-14,0,0,0,12:00 PM,0,none
Birthday party from midnight to noon on the fourth of March,Birthday party,,03-05-14,0,0,0,12:00 AM,03-05-14,0,0,0,12:00 PM,0,none
High school admission results in 1 week,High school admission results,,0,1,0,0,12:00 AM,0,1,0,0,12:00 AM,1,none
Lunch with John at 123 Main Street on Tuesday,Lunch with John,123 Main Street,tuesday,0,0,0,12:00 AM,tuesday,0,0,0,12:00 AM,1,none
Dinner at 6,Dinner,,,0,0,0,06:00 PM,,0,0,0,07:00 PM,0,none
Pick up Joe tomorrow at LAX at 8pm,Pick up Joe,LAX,1,0,0,0,08:00 PM,1,0,0,0,09:00 PM,0,none
Pick up Joe the day after tomorrow at LAX at 8pm,Pick up Joe,LAX,2,0,0,0,08:00 PM,2,0,0,0,09:00 PM,0,none
Cycling class @6 for 1.5h,Cycling class,,,0,0,0,06:00 PM,,0,0,0,07:30 PM,0,none
Next Tuesday Jogging in the Park @8a for 90 min,Jogging,the Park,nexttuesday,0,0,0,08:00 AM,nexttuesday,0,0,0,09:30 AM,0,none
Trip to Turkey first of july through 5th of aug,Trip to Turkey,,07-01-13,0,0,0,12:00 AM,08-05-13,0,0,0,12:00 AM,1,none
